event_id,pred_x,pred_z,actual_x,actual_z
0,0.13036400711410054,2.2388098936564615,0.12419429527302578,2.1760539167267616
2,0.13029278018736004,2.199846079425212,0.12419429527302578,2.1760539167267616
3,0.12998618048780602,2.1586664489586034,0.12419429527302578,2.1760539167267616
4,0.13001283463413338,2.1179162291501217,0.12419429527302578,2.1760539167267616
5,0.13018017316604102,2.079992715104221,0.12419429527302578,2.1760539167267616
6,0.5561840963559933,1.6451048159204762,0.47827331210877316,1.6401600417119622
7,0.7089909848236284,2.4968398291193448,0.47827331210877316,1.6401600417119622
8,0.5844288591809105,2.1576422224326186,0.47827331210877316,1.6401600417119622
9,0.5069519230602835,1.9497320374684843,0.47827331210877316,1.6401600417119622
10,0.44992999496338193,1.8131367846385942,0.47827331210877316,1.6401600417119622
11,0.26866053639275217,2.321864704778734,0.24906112850625653,2.3889287564065533
12,0.26041375760702123,2.2675330489313015,0.24906112850625653,2.3889287564065533
13,0.25450835304206326,2.2158126407989736,0.24906112850625653,2.3889287564065533
14,0.24944739506890856,2.1687638796850957,0.24906112850625653,2.3889287564065533
15,0.24647230153842836,2.12926674281937,0.24906112850625653,2.3889287564065533
16,0.1817201841398135,1.4632794552314858,0.13388711587007093,1.4701100039424944
17,0.18886864796382177,1.4629147222262764,0.13388711587007093,1.4701100039424944
18,0.1965007667657759,1.4653797095248065,0.13388711587007093,1.4701100039424944
19,0.2031870601615742,1.470852739725599,0.13388711587007093,1.4701100039424944
20,0.20851049440197247,1.4756722477400916,0.13388711587007093,1.4701100039424944
21,0.30840238732797587,2.2779761080325547,0.2602235325140275,2.3257295829566447
22,0.3020854045183149,2.2148249922019017,0.2602235325140275,2.3257295829566447
23,0.2996316279259975,2.159259623364203,0.2602235325140275,2.3257295829566447
24,0.2990428506689729,2.1097094303690835,0.2602235325140275,2.3257295829566447
25,0.4313938942337888,2.532283815523509,0.5461377313539847,1.399881819040783
26,0.39181102723858835,2.575299382720295,0.5461377313539847,1.399881819040783
27,0.21039757496357647,10.930608293149717,0.5461377313539847,1.399881819040783
28,0.2296466204731405,9.426033831087025,0.5461377313539847,1.399881819040783
29,0.2710766667640523,7.055958381529029,0.5461377313539847,1.399881819040783
30,0.3109384684224088,1.8904365913633912,0.3168738096469397,2.073409864050971
31,0.29040028068126367,1.9398219588935086,0.3168738096469397,2.073409864050971
32,0.27552617340089364,1.8900829716541658,0.3168738096469397,2.073409864050971
33,0.2667774565282864,1.8368523657832516,0.3168738096469397,2.073409864050971
